Time, a, b, c, d, e, f
2025-04-19 17:42:03.508504,21.437,  20.5,20.187,19.812,20.125, 18.75,
2025-04-19 17:43:08.500515,  21.5,  20.5,20.125,19.812,20.125, 18.75,
2025-04-19 17:44:13.556543,21.437,20.437,20.125,19.812,20.125,18.687,
2025-04-19 17:45:18.548530,21.437,20.437,20.125,19.812,20.125,18.687,
2025-04-19 17:46:23.604551,21.437,20.437,20.187,19.812,20.125,18.687,
2025-04-19 17:47:28.660541,21.437,20.437,20.125,19.812,20.125,18.687,
2025-04-19 17:48:33.652488,21.437,20.437,20.125,19.812,20.125,18.687,
2025-04-19 17:49:38.644523,21.437,20.437,20.125,19.812,20.125,18.687,
2025-04-19 17:50:43.700497,21.437,20.437,20.125,19.812,20.125,18.687,
2025-04-19 17:51:48.692539,21.437,20.437,20.125,19.812,20.125,18.687,
2025-04-19 17:52:53.748524,21.437,  20.5,20.125,19.812,20.187,18.687,
2025-04-19 17:53:58.740547,21.437,  20.5,20.125,19.812,20.187,18.687,
2025-04-19 17:55:03.796517,  21.5,  20.5,20.187,19.812,20.187, 18.75,
2025-04-19 17:56:08.788499,21.437,  20.5,20.125,19.812,20.187,18.687,
2025-04-19 17:57:13.844497,21.437,20.437,20.125,19.812,20.125,18.687,
2025-04-19 17:58:18.836498,21.437,20.437,20.125,19.812, 20.25,18.687,
2025-04-19 17:59:23.892524,21.437,20.437,20.125,19.812,20.125,18.687,
2025-04-19 18:00:28.884557,21.437,20.437,20.125,19.812,20.125,18.625,
2025-04-19 18:01:33.876537,21.437,20.437,20.062, 19.75,20.062,18.625,
2025-04-19 18:02:38.964508,21.375,20.437,20.125, 19.75,20.125,18.625,
2025-04-19 18:03:43.956515,21.375,20.437,20.125, 19.75,20.062,18.625,
2025-04-19 18:04:48.952536,21.375,20.437,20.062,19.812,20.062,18.625,
2025-04-19 18:05:53.972514,  21.5,20.562,20.187,19.812,20.187,18.625,
2025-04-19 18:06:59.132876,21.562,20.562,20.187,19.875, 20.25,18.812,
2025-04-19 18:08:04.212550,21.562,20.562, 20.25,19.875, 20.25,18.812,
2025-04-19 18:09:09.344834,21.625,20.625, 20.25,19.937, 20.25,18.812,
2025-04-19 18:10:14.356568,21.687,20.625, 20.25,19.937, 20.25,18.875,
2025-04-19 18:11:19.380786,21.687,20.625, 20.25,19.937, 20.25,18.812,
2025-04-19 18:12:24.468564,21.687,20.625, 20.25,19.937, 20.25,18.875,
2025-04-19 18:13:29.460534,21.687,20.625, 20.25,  20.0, 20.25,18.875,
2025-04-19 18:14:34.548466,21.687,20.625, 20.25,19.937, 20.25,18.875,
2025-04-19 18:15:39.636494,21.687,20.625, 20.25,  20.0,20.312,18.875,
2025-04-19 18:16:44.660523,21.687,20.625,20.312,  20.0,20.312,18.875,
2025-04-19 18:17:49.620548,21.687,20.625,20.312,  20.0,20.312,18.875,
2025-04-19 18:18:54.548478,21.687,20.625, 20.25,  20.0, 20.25,18.812,
2025-04-19 18:19:59.604528,21.687,20.625, 20.25,  20.0, 20.25,18.875,
2025-04-19 18:21:04.660527,21.687,20.625, 20.25,  20.0, 20.25,18.812,
2025-04-19 18:22:09.716486,21.687,20.625,20.312,  20.0, 20.25,18.875,
2025-04-19 18:23:14.772561,21.687,20.625,20.312,20.062,20.312,18.875,
2025-04-19 18:24:19.700533,21.687,20.687,20.312,20.062,20.312,18.875,
2025-04-19 18:25:24.820652,21.687,20.687,20.312,20.062,20.312,18.875,
2025-04-19 18:26:29.868534,21.687,20.687,20.312,20.062,20.375,18.937,
2025-04-19 18:27:34.932531, 21.75, 20.75,20.375,20.125,20.375,18.937,
2025-04-19 18:28:39.892549, 21.75, 20.75,20.375,20.125,20.437,  19.0,
2025-04-19 18:29:44.948527, 21.75, 20.75,20.375,20.125,20.437,  19.0,
2025-04-19 18:30:50.068857, 21.75, 20.75,20.437,20.125,20.437,  19.0,
2025-04-19 18:31:54.996626, 21.75, 20.75,20.437,20.187,20.437,  19.0,
2025-04-19 18:33:00.020549, 21.75,20.812,20.375,20.187,20.437,  19.0,
2025-04-19 18:34:05.076543, 21.75,20.812,20.375,20.187,20.437,  19.0,
2025-04-19 18:35:10.100837, 21.75,20.812,20.375,20.187,20.437,  19.0,
2025-04-19 18:36:15.012538, 21.75,20.812,20.437, 20.25,20.437,19.062,
2025-04-19 18:37:20.020491,21.812,20.812,20.375,20.187,20.437,19.062,
2025-04-19 18:38:25.077140,21.812,20.812,20.437, 20.25,  20.5,19.062,
2025-04-19 18:39:30.036840,21.812,20.812,20.437,20.187,  20.5,19.062,
2025-04-19 18:40:35.121400,21.812,20.812,  20.5, 20.25,  20.5,19.062,
2025-04-19 18:41:40.148499,21.812,20.875,20.437, 20.25,  20.5,19.125,
2025-04-19 18:42:45.204539,21.812,20.875,  20.5, 20.25,20.562,19.125,
2025-04-19 18:43:50.260531,21.812,20.875,  20.5, 20.25,20.562,19.125,
2025-04-19 18:44:55.284586,21.812,20.875,  20.5,20.312,20.562,19.125,
